state_component, stat, schedule, label_scheme, N, result
goal.joint_independent, update.prec, 1, a, 3934, 0.7231969
goal.joint_independent, roc.v1_eer, 1, a, 3934, 0.3942552
goal.joint_independent, roc.v1_ca05, 1, a, 3934, 0.0000000
goal.joint_independent, roc.v1_ca10, 1, a, 3934, 0.1944586
goal.joint_independent, roc.v1_ca20, 1, a, 3934, 0.3134215
goal.joint_independent, roc.v2_ca05, 1, a, 3934, 0.0000000
goal.joint_independent, roc.v2_ca10, 1, a, 3934, 0.0000000
goal.joint_independent, roc.v2_ca20, 1, a, 3934, 0.3780671
requested.addr, acc, 1, a, 3934, 0.9789019
requested.addr, l2, 1, a, 3934, 0.0396612
requested.addr, l2.binary, 1, a, 3934, 0.0396612
requested.addr, avgp, 1, a, 3934, 0.9698297
requested.addr, neglogp, 1, a, 3934, 0.1128365
requested.addr, mrr, 1, a, 3934, 0.9894509
requested.addr, update.acc, 1, a, 3934, 0.9420402
requested.addr, update.prec, 1, a, 3934, 0.9918633
requested.addr, roc.v1_eer, 1, a, 3934, 0.0320285
requested.addr, roc.v1_ca05, 1, a, 3934, 0.9789019
requested.addr, roc.v1_ca10, 1, a, 3934, 0.9789019
requested.addr, roc.v1_ca20, 1, a, 3934, 0.9789019
requested.addr, roc.v2_ca05, 1, a, 3934, 0.0002597
requested.addr, roc.v2_ca10, 1, a, 3934, 0.0002597
requested.addr, roc.v2_ca20, 1, a, 3934, 0.0002597
requested.area, acc, 1, a, 3934, 0.9933910
requested.area, l2, 1, a, 3934, 0.0111534
requested.area, l2.binary, 1, a, 3934, 0.0111534
requested.area, avgp, 1, a, 3934, 0.9916310
requested.area, neglogp, 1, a, 3934, 0.0359843
requested.area, mrr, 1, a, 3934, 0.9966955
requested.area, update.acc, 1, a, 3934, 0.9552773
requested.area, update.prec, 1, a, 3934, 0.9962687
requested.area, roc.v1_eer, 1, a, 3934, 0.0088968
requested.area, roc.v1_ca05, 1, a, 3934, 0.9933910
requested.area, roc.v1_ca10, 1, a, 3934, 0.9933910
requested.area, roc.v1_ca20, 1, a, 3934, 0.9933910
requested.area, roc.v2_ca05, 1, a, 3934, 0.0002559
requested.area, roc.v2_ca10, 1, a, 3934, 0.0002559
requested.area, roc.v2_ca20, 1, a, 3934, 0.0002559
requested.food, acc, 1, a, 3934, 0.9916116
requested.food, l2, 1, a, 3934, 0.0134748
requested.food, l2.binary, 1, a, 3934, 0.0134748
requested.food, avgp, 1, a, 3934, 0.9915789
requested.food, neglogp, 1, a, 3934, 0.0356785
requested.food, mrr, 1, a, 3934, 0.9958058
requested.food, update.acc, 1, a, 3934, 0.9497717
requested.food, update.prec, 1, a, 3934, 1.0000000
requested.food, roc.v1_eer, 1, a, 3934, 0.0086426
requested.food, roc.v1_ca05, 1, a, 3934, 0.9916116
requested.food, roc.v1_ca10, 1, a, 3934, 0.9916116
requested.food, roc.v1_ca20, 1, a, 3934, 0.9916116
requested.food, roc.v2_ca05, 1, a, 3934, 0.0002563
requested.food, roc.v2_ca10, 1, a, 3934, 0.0002563
requested.food, roc.v2_ca20, 1, a, 3934, 0.0002563
requested.phone, acc, 1, a, 3934, 0.9816980
requested.phone, l2, 1, a, 3934, 0.0301370
requested.phone, l2.binary, 1, a, 3934, 0.0301370
requested.phone, avgp, 1, a, 3934, 0.9722353
requested.phone, neglogp, 1, a, 3934, 0.0681131
requested.phone, mrr, 1, a, 3934, 0.9908490
requested.phone, update.acc, 1, a, 3934, 0.9467832
requested.phone, update.prec, 1, a, 3934, 0.9958229
requested.phone, roc.v1_eer, 1, a, 3934, 0.0231317
requested.phone, roc.v1_ca05, 1, a, 3934, 0.9816980
requested.phone, roc.v1_ca10, 1, a, 3934, 0.9816980
requested.phone, roc.v1_ca20, 1, a, 3934, 0.9816980
requested.phone, roc.v2_ca05, 1, a, 3934, 0.0002589
requested.phone, roc.v2_ca10, 1, a, 3934, 0.0002589
requested.phone, roc.v2_ca20, 1, a, 3934, 0.9334542
requested.pricerange, acc, 1, a, 3934, 0.9865277
requested.pricerange, l2, 1, a, 3934, 0.0205233
requested.pricerange, l2.binary, 1, a, 3934, 0.0205233
requested.pricerange, avgp, 1, a, 3934, 0.9845708
requested.pricerange, neglogp, 1, a, 3934, 0.0566703
requested.pricerange, mrr, 1, a, 3934, 0.9932639
requested.pricerange, update.acc, 1, a, 3934, 0.9341142
requested.pricerange, update.prec, 1, a, 3934, 0.9860896
requested.pricerange, roc.v1_eer, 1, a, 3934, 0.0167768
requested.pricerange, roc.v1_ca05, 1, a, 3934, 0.9865277
requested.pricerange, roc.v1_ca10, 1, a, 3934, 0.9865277
requested.pricerange, roc.v1_ca20, 1, a, 3934, 0.9865277
requested.pricerange, roc.v2_ca05, 1, a, 3934, 0.0002577
requested.pricerange, roc.v2_ca10, 1, a, 3934, 0.0002577
requested.pricerange, roc.v2_ca20, 1, a, 3934, 0.0002577
requested.postcode, acc, 1, a, 3934, 0.9855109
requested.postcode, l2, 1, a, 3934, 0.0221122
requested.postcode, l2.binary, 1, a, 3934, 0.0221122
requested.postcode, avgp, 1, a, 3934, 0.9795085
requested.postcode, neglogp, 1, a, 3934, 0.0643051
requested.postcode, mrr, 1, a, 3934, 0.9927555
requested.postcode, update.acc, 1, a, 3934, 0.9428969
requested.postcode, update.prec, 1, a, 3934, 0.9755043
requested.postcode, roc.v1_eer, 1, a, 3934, 0.0142349
requested.postcode, roc.v1_ca05, 1, a, 3934, 0.9855109
requested.postcode, roc.v1_ca10, 1, a, 3934, 0.9855109
requested.postcode, roc.v1_ca20, 1, a, 3934, 0.9855109
requested.postcode, roc.v2_ca05, 1, a, 3934, 0.0002579
requested.postcode, roc.v2_ca10, 1, a, 3934, 0.0002579
requested.postcode, roc.v2_ca20, 1, a, 3934, 0.0002579
requested.signature, acc, 1, a, 3934, 0.9994916
requested.signature, l2, 1, a, 3934, 0.0009110
requested.signature, l2.binary, 1, a, 3934, 0.0009110
requested.signature, avgp, 1, a, 3934, 0.9988346
requested.signature, neglogp, 1, a, 3934, 0.0035060
requested.signature, mrr, 1, a, 3934, 0.9997458
requested.signature, update.acc, 1, a, 3934, 0.9960630
requested.signature, update.prec, 1, a, 3934, 1.0000000
requested.signature, roc.v1_eer, 1, a, 3934, 0.0005084
requested.signature, roc.v1_ca05, 1, a, 3934, 0.9994916
requested.signature, roc.v1_ca10, 1, a, 3934, 0.9994916
requested.signature, roc.v1_ca20, 1, a, 3934, 0.9994916
requested.signature, roc.v2_ca05, 1, a, 3934, 0.0002543
requested.signature, roc.v2_ca10, 1, a, 3934, 0.0002543
requested.signature, roc.v2_ca20, 1, a, 3934, 0.0002543
requested.name, acc, 1, a, 3934, 1.0000000
requested.name, l2, 1, a, 3934, 0.0000000
requested.name, l2.binary, 1, a, 3934, 0.0000000
requested.name, avgp, 1, a, 3934, 1.0000000
requested.name, neglogp, 1, a, 3934, 0.0000000
requested.name, mrr, 1, a, 3934, 1.0000000
requested.name, update.acc, 1, a, 3934, 1.0000000
requested.name, update.prec, 1, a, 3934, 1.0000000
requested.name, roc.v1_eer, 1, a, 3934, 0.0000000
requested.name, roc.v1_ca05, 1, a, 3934, 1.0000000
requested.name, roc.v1_ca10, 1, a, 3934, 1.0000000
requested.name, roc.v1_ca20, 1, a, 3934, 1.0000000
requested.name, roc.v2_ca05, 1, a, 3934, -
requested.name, roc.v2_ca10, 1, a, 3934, -
requested.name, roc.v2_ca20, 1, a, 3934, -
requested.all, acc, 1, a, 31472, 0.9896416
requested.all, l2, 1, a, 31472, 0.0172466
requested.all, l2.binary, 1, a, 31472, 0.0172466
requested.all, avgp, 1, a, 31472, 0.9860236
requested.all, neglogp, 1, a, 31472, 0.0471367
requested.all, mrr, 1, a, 31472, 0.9948208
requested.all, update.acc, 1, a, 31472, 0.9219911
requested.all, update.prec, 1, a, 31472, 0.9546154
requested.all, roc.v1_eer, 1, a, 31472, 0.0130275
requested.all, roc.v1_ca05, 1, a, 31472, 0.9896416
requested.all, roc.v1_ca10, 1, a, 31472, 0.9896416
requested.all, roc.v1_ca20, 1, a, 31472, 0.9896416
requested.all, roc.v2_ca05, 1, a, 31472, 0.0000321
requested.all, roc.v2_ca10, 1, a, 31472, 0.0000321
requested.all, roc.v2_ca20, 1, a, 31472, 0.0000321
method, acc, 1, a, 3934, 0.7564820
method, l2, 1, a, 3934, 0.4326944
method, l2.binary, 1, a, 3934, 0.4412615
method, avgp, 1, a, 3934, 0.7467030
method, neglogp, 1, a, 3934, 1.5050473
method, mrr, 1, a, 3934, 0.8118539
method, update.acc, 1, a, 3934, 0.6345102
method, update.prec, 1, a, 3934, 0.7965044
method, roc.v1_eer, 1, a, 3934, 0.2852059
method, roc.v1_ca05, 1, a, 3934, 0.0002542
method, roc.v1_ca10, 1, a, 3934, 0.4994916
method, roc.v1_ca20, 1, a, 3934, 0.7175902
method, roc.v2_ca05, 1, a, 3934, 0.0003360
method, roc.v2_ca10, 1, a, 3934, 0.0003360
method, roc.v2_ca20, 1, a, 3934, 0.0003360
